S1E1,Dialogue
Donkey Mom," The good news is I got my kid to prep my important meeting at work. The bad news is all the customers went home. They didn't like the screaming and felt like their food was a little too ""on fire""."
BOJACK," It's called a char, dumbshits."
Donkey Mom, The critic's still here.
Critic," Oh, oh, oh!"
Donkey Mom, She still wants her mushroom risotto.
Waiter, I don't know how to make risotto.
PRINCESS CAROLYN, I know how.
BOJACK," What are you doing? No, go home."
PRINCESS CAROLYN, You're right. What am I doing? All right. Good luck.
Radio," Keep driving, keep driving Girl, don't turn that car around Break your pattern Of needing to fix other people Just keep on driving away...KEEP DRIVING Who do they write these songs for? Don't go back to the restaurant, Princess Carolyn Just keep driving away"
PRINCESS CAROLYN, Goddamn it.
BOJACK, How should I know? Do I look like an expert in cooking oils?
Waiter, We have to choose! We're running out of time.
PRINCESS CAROLYN, Olive. You wanna use olive oil.
BOJACK, What are you doing?
PRINCESS CAROLYN, Let me do this. You'll burn the place to the ground.
BOJACK, Fine. This isn't one of those things where you save my ass so I feel obligated to give you your job back.
PRINCESS CAROLYN, I know you have no sense of obligation to me.
Waiter," Ooh, slam. I'm sorry, I'd rather not get involved."
Donkey Mom, Can I get you some more water? You look lovely. It's a great blouse.
Donkey Son," Mom, I wanna go home."
Donkey Mom, This is a very important night for the restaurant. How are we coming on the sales meeting? Did you get the big conference room?
Donkey Son, Winslow wants the big conference room for his presentation to corporate.
Donkey Mom, You get back on that phone and you get me that big room.
Donkey Son," Okay, Mom. "
PRINCESS CAROLYN, The secret is stirring continuously.
Waiter," Right, so that's the secret. I'm gonna go roll some more soy balls."
BOJACK, Thanks for your help. Sure. How do you know how to do this?
PRINCESS CAROLYN," Mom was a live-in maid for a rich family. She had a little trouble bending her elbow too much. Unless I wanted us to be on the street, I had to cover for her, a lot. That rich family loved Italian food and champagne fountains. And cocaine. And private jets. And screaming at each other. Who threw my cocaine in the champagne fountain?"
BOJACK, So standard rich people stuff?
PRINCESS CAROLYN, I guess.
BOJACK, How come you never told me that?
PRINCESS CAROLYN, I did. It's okay. I know you never remember anything.
BOJACK," That's not true. I remember the first time we met. I went to see Marv. You were at the desk in front of his office. I thought you were cute and you said, It's good to see you again. So I guess we'd met before."
PRINCESS CAROLYN," That was the third time we met. The first time was when I was an intern. I delivered a script to your house. You were passed out in the yard, covered in tapioca pudding. I hosed you down, dragged you inside, covered you with a blanket."
BOJACK, Really? I don't remember that.
PRINCESS CAROLYN, Shocker.
BOJACK, So you've gone from daughter of a maid to head of your own company.
PRINCESS CAROLYN, The company's not doing so hot.
BOJACK, Don't try to guilt me.
PRINCESS CAROLYN, It's not your fault. Turns out being an agent and running an agency are two different skills. It's like asking a really delicious tomato to make you a tomato sandwich. How's a tomato gonna make you a sandwich? He's got no arms.
BOJACK, You'll figure it out. Princess Carolyn always lands on her feet.
PRINCESS CAROLYN, But I don't even know why I'm doing it. Does any of it matter?
BOJACK, Why are you an agent at all if it makes you so miserable?
PRINCESS CAROLYN," Because I'm good at it. I mean, stuff hasn't been hitting lately. But, usually, I'm really good at it."
BOJACK," Just 'cause you're good at something doesn't mean you have to do it. I'm good at driving sober, but I don't relish the opportunity."
PRINCESS CAROLYN, But what else would I do? Who else would I be?
BOJACK," I do love you, by the way. I mean, as much as I'm capable of loving anyone. Which is never enough. I'm sorry."
PRINCESS CAROLYN, Ta-da!
Critic," Well, it is truly...how should I put this? Wonderful."
PRINCESS CAROLYN, So you'll give Elefante a good review?
Critic," No, I can't do that. I waited over two hours to be served. The ambience was terrible. You two were screaming all night. At one point, a waiter ran through the restaurant on fire. Unfortunately, you will be receiving my lowest rating"
BOJACK, A billion stars?
Critic," Yes, that's the rubric I use on SamanthaGoesToRestaurants.tumblr.com."
BOJACK," Oh, God, get out."
Critic, I assure you the animated GIFs with which I describe this encounter shall be scathing.
Donkey Son," Mom! I just touched base with Rooney, re Winslow. He's out, we're in. The conference room is ours."
Donkey Mom, Perfect! This is the meeting where we finally convince the big boys to let us get babies addicted to vaping!
Donkey Son, Yes! Corporation!
PRINCESS CAROLYN, How about a drink?
BOJACK, I could drink.
Waiter, I don't think I can. I'm heading out. I got pretty badly burnt earlier and in a lot of pain. I should probably go to the ER. Have a great night.
BOJACK, What's the second time we met?
PRINCESS CAROLYN, A taping of Horsin' Around.
BOJACK, Which episode?
PRINCESS CAROLYN, The one where Olivia put too much detergent in the washing machine.
BOJACK," Oh, yeah. Nancy Reagan was the guest star. That woman was the real actor in the family."
PRINCESS CAROLYN, I had just started working for Marv. I went backstage to introduce myself.
BOJACK, And then what happened?
PRINCESS CAROLYN," You told me you were too tired pretending to be nice all night, and to leave you alone."
BOJACK," I'm a real jerk, huh?"
PRINCESS CAROLYN," Yeah, but you're honest, straightforward, not fake nice and don't beat around the bush. Your heart is tender, so you protect it from people, but sometimes you open up a wall and it's incredible. You're doing the best you can, considering your asshole parents. You have great taste in art, and that pink spot on your nose is just adorable. How many nice things was that, about ten?"
BOJACK, Just about.
PRINCESS CAROLYN," Okay, one more. You let me help you tonight because you knew I needed it. You did it for me, which was very sweet."
BOJACK, Thanks. You're a good friend to me.
PRINCESS CAROLYN, BoJack...
BOJACK, Yeah?
PRINCESS CAROLYN, Are we friends?
BOJACK," Yeah. I mean, I think we are. Or I think we can be. "
PRINCESS CAROLYN," Okay, then as a friend, I'm asking you...Please don't leave me."
BOJACK, Princess Carolyn
PRINCESS CAROLYN," Please. I can turn this around, I just need more time. We're in a fragile period, still finding our feet. Just give me six monthsand then you can go. I promise, I'll never ask anything from you again, but please, give me six months."
Waiter," Sorry, I left my coat here. I got it."
PRINCESS CAROLYN, So? What do you think?
BOJACK, No.
,
S3E10,
Announcer," Ladies and gentlemen, to announce this year's Oscar nominees...Mr. Peanutbutter! Mr. Peanutbutter! Mr. Peanutbutter?"
MR. PEANUTBUTTER," Hello! Here I am, Mr. Peanutbutter. That's my name and I am here. Okay, the nominees. Nominees for Oscar. Who are the nominees? Well, as I used to say on Hollywoo Stars and Celebrities"
MR. PEANUTBUTTER," For Best Actor, the nominees are"
BOJACK, Whoa.
ANA," BoJack, you just got nominated for an Oscar. You're an Oscar nominee. How do you feel?"
BOJACK, I feel...I-I feel...I feel...the same. It happened again. Why do I keep thinking things will make me happy? What is wrong with me?
ANA," BoJack, don't do this. Don't fetishize your own sadness."
BOJACK," Uh... Oh, God, I'm drowning. I feel like I'm drowning."
ANA," BoJack, listen. When I was 17, I snuck out to a fraternity party. The roads were icy and I swerved into the lake. I came to underwater. It was dark and cold, and I didn't even know which way was up. I thought for sure I was going to drown. And then... I noticed... when I opened my mouth, the air bubbles floated up, and that's how I knew which way to swim."
BOJACK, That is a terrifying story.
ANA," BoJack, when you find yourself lost and disoriented and underwater and you don't know which way is up, it's important to breathe."
BOJACK, I don't deserve this. I'm not a best actor.
ANA," Awards aren't about who's best, BoJack."
BOJACK, That's literally the only thing they're about.
ANA," No. All this means is that you're one of the special people. I saw it the first time I met you. You must have known it all your life. And all your life, people told you that you were wrong, that you weren't special, that you were just like everybody else. But now, the special people are saying, You were right, BoJack. You were right."
BOJACK, I was right. I am one of the special people.
ANA, Yes.
BOJACK," What are we doing just sitting here? I just got nominated for an Oscar. We gotta party like it's 1982, the year Prince released 1999."
Whale," BoJack, your complimentary Rolex is here. BoJack, giant chocolate Oscar's here. Famous DJ David Gu-etta is at the door. Free Tesla's here, Boj. They want to know if they can park it in your driveway."
BOJACK," No. Tell them I want my free Tesla parked in my goddamn living room. I'm BoJack! Yeah, now we're doing it! Look at us partying."
Whale," BoJack, you got another delivery. Someone sent a... nerd?"
DIANE, Hi.
BOJACK, You get a load of this chili cheese fountain? Grab a handful of beans and go to town.
DIANE," Hey, this is all really something. But I actually just came because I heard about the nomination and I wanted to make sure you're okay."
BOJACK," That's a funny way of saying congratulations. But not funny ha-ha, more like funny Doonesbury."
DIANE," I know how this kind of thing can sometimes send you spinning. Oh, God, why doesn't this make me happy? Will anything make me happy? I'm an empty husk. That kind of thing."
BOJACK," Well, thank you for that, but I'm actually doing great. I direct your attention to the aforementioned chili cheese fountain!"
DIANE," It's too bad I'm not managing your social campaign anymore, because this party would make a great Snapchat story."
BOJACK, You are not gonna make me guilty about leaving Princess Carolyn.
DIANE, I'm not here to make you feel guilty. Like I said--
BOJACK," Honestly, I don't even know what you're doing over there. Tweeting for celebrities?"
DIANE," Well, actually, I don't--"
BOJACK," When I met you, you were so cool and interesting--"
DIANE," Uh, I was never cool."
BOJACK, You used to actually care about shit. What happened?
DIANE," I don't know, BoJack. Maybe caring about shit got old. Maybe I'm tired of everyone yelling at me and sending death threats to my house, and all my friends thinking I'm annoying, and getting in fights with my husband, and seeing little refugee boys die in hospital bombings. It's exhausting and I can't do it. If that makes me a bad person, then I'm sorry that I'm not the cool, interesting girl."
BOJACK, I never said you were a bad person. I just said it's not you. And you know it's not you.
DIANE," Oh, and this party is you? Who are all these people?"
BOJACK, These are my friends.
DIANE, Name one of them.
BOJACK, Tes-ley.
DIANE, You're just looking at the Tesla.
BOJACK," I don't know why it's so hard for you to believe that I could be happy. I'm not like you, okay? I don't fetishize my own sadness."
DIANE, I don't fetishize my own sadness.
BOJACK, Sure.
DIANE,You don't know anything about me.
BOJACK," Hey! I know that you can tweet for a living in a house in Beverly Hills that your husband bought, or you can think you're better than everyone, but you can't do both."
DIANE, I don't think I'm better than everyone.
BOJACK," And again, I say, sure."
DIANE," You know what's gonna happen? You're gonna win that Oscar, and you're gonna go up on that stage and give your little speech, and then you're gonna go home. And you're gonna be so miserable, you'll want to kill yourself. And you're gonna have nobody left to stop you."
Man," Hey, it's BoJack! BoJack! BoJack!"
BOJACK," No one's gonna be there when I kill myself? Listen to that chanting, Diane. The chanting don't lie. There's going to be plenty of people around when I kill myself."
All, BoJack!
ANA," Tell your readers that BoJack was sleeping. He didn't even know they were announced today. Okay. Goodbye, Heather."
BOJACK," Hey, Ana, can I ask you something?"
ANA," Of course, darling."
BOJACK," So, if I win the Oscar--"
ANA, When you win the Oscar.
BOJACK," Right. But after that, what's gonna happen to us?"
ANA, What do you mean?
BOJACK," What we have. It's more than just an Oscar campaign, right?"
ANA, I need to go.
BOJACK, What?
ANA," There's work to be done. We got the nomination, but now, the real battle begins. Enjoy your party. Stop worrying about the future."
MR. PEANUTBUTTER," Come on, buddy! Come on!"
BOJACK, Mr. Peanutbutter!
MR. PEANUTBUTTER, Thank God you're okay.
BOJACK," Better than okay. I'm wonderful. Thanks to you, you wonderful man. When you said my name this morning, you changed my life."
MR. PEANUTBUTTER, About that--
BOJACK," Hey, did you see Erica here? She was looking for you earlier, with her good eye. Her other eye was looking to the stars."
MR. PEANUTBUTTER," BoJack, I need to talk to you."
BOJACK," Yeah? What's going on, buddy?"
MR. PEANUTBUTTER," Well, I've got good news and I've got bad news. Raven on a wire. A gloomy portent, precariously perched. And, as the sun sets, so does it spread its deathly shadow across the just and unjust of the outdoor seating area of the California Pizza Kitchen."
Realtor, Mm-hmm! And what better way to view such disquieting omens than through these gorgeous floor-to-ceiling windows?
TODD," Yeah. Wow! They really make regular windows look like shit. I can't look out the window while lying on the floor? No, thank you, regular window!"
Realtor, Tell me a little about your company.
TODD," Well, it started as a safe space for women. Then, it became a safe space for women and men. Now, it's more of a safe-ish space for women...and a really safe space for men to look at women..."
Realtor, I hear you.
TODD,...while also being driven around by them.
Realtor, Wow! Something for everyone.
TODD, Demand is skyrocketing. That's why we need a bigger office space.
MR. PEANUTBUTTER," You come to work, clock in, you put sugar in your coffee, and watch it slowly disappear into nothingness. But the sugar doesn't know why. Sugar didn't ask to be born."
Realtor, Is he okay?
TODD, He recently found out that his brother's sick.
Realtor," Oh. I'm so sorry, but you know what else is sick? These hardwood floors."
TODD," Ooh! Did you hear that, Mr. Peanutbutter?"
JUDAH," Losing BoJack was a blow. There's no way to sugarcoat it, even if I were generally good at sugarcoating things, which I'm not."
PRINCESS CAROLYN," You know, I wish cats really did have nine lives. It would make me feel better about how much I'm screwing up this one."
JUDAH, You're not screwing up your life.
PRINCESS CAROLYN," Sometimes I feel like, if I could start everything over, knowing what I know now, I'd do it all right this time. But other times I think...No, I wouldn't. As you all know, things have been rough, and, unfortunately, we have to scale back our staff. Mainly, you."
DIANE, Are you firing me?
PRINCESS CAROLYN," In a sense, yes. But, in another sense, I'm promoting you to a position of finding a job somewhere else."
DIANE, Yeah. I don't think I ever thanked you for giving me this job in the first place. It was an honor to work with you. You were the worst social media coordinator this company ever had.
MR. PEANUTBUTTER, Are you sure you need surgery? Can't you get a second opinion?
Captian Peanutbutter, Second opinion? You know there's only one doctor on the Peninsula. I could ask him twice if it'd make you feel better.
MR. PEANUTBUTTER," Nothing could make me feel better right now. Not even an amazing career opportunity. Hold on, I'm getting another call. I've got to take this. It could bean amazing career opportunity. Hello?"
Von Trapp," Mr. Peanutbutter, this is Shep Von Trapp, awards show producer, with a career opportunity that is... good."
MR. PEANUTBUTTER," This isn't a great time, Shep. Could you call back?"
Von Trapp," Absolutely... not. The Oscar nomination announcementis in seven days and we don't have a host. Sadly, Jimmy Fallon just broke his face."
Jimmy Fallon," What? Halloween in January? What a crazy concept! I can't believe it! I mean, what is this? Barry Gibb would be like...I'm going in! No. First, I gotta get a selfie with this thing. I'm Jimmy Fallon."
Von Trapp, Und you are our first choice after our first first choice got hit by a bus. You're our second first choice. What do you say?
MR. PEANUTBUTTER," Ooh, a job like that? You want a fully present presenter to present. And I don't know if I've got the pep in my step to take that show where it needs to go, you know? I've got a real pepless step, Shep."
Von Trapp," Okay, well, let me know, because if you don't want to do it, we'll probably just post the list of nominees online or something. It's really not that big of a deal."
MR. PEANUTBUTTER," Hey, sorry about that. Just got a call from the Oscars. They want me to host--"
Captain Peanutbutter, They want you to host the Oscars?
MR. PEANUTBUTTER, Nomination announcement. But I don't think I have it in me right now.
Captain Peanutbutter, Are you kidding? You gotta take that gig.
MR. PEANUTBUTTER, Really?
Captain Peanutbutter, Mr. Peanutbutter...what did Nana Peanutbutter always say?
MR. PEANUTBUTTER," Always take every opportunity that comes your way because opportunities are like sneezes from God, and when God sneezes, you can't say God bless you to God, so instead you have to take the opportunity. I'm cold. Will you pass me that blanket? Boy, that old gal had something for everything, didn't she?"
Captain Peanutbutter," I know you're worried about me, but sitting around the house worrying isn't going to help anyone."
MR. PEANUTBUTTER," Okay, but you'll call me when you get out of the surgery, right? I'm not gonna let my phone leave my sight."
Captain Peanutbutter," Of course. And now, I've got something new to live for. My little brother, telling the whole world who got an Oscar!"
MR. PEANUTBUTTER, Nomination.
Producer," We are minutes away. Shep, release the envelope."
Von Trapp, Copy that. Releasing the envelope. It's go time.
Gorilla, It's go time.
Housecoopers," Are you ready, Brother Pricewater?"
Pricewater," Of course, Brother Housecoopers."
Von Trapp," Mr. Peanutbutter, we'd like to invite you to the stage. "
TODD, It's here! The golden envelope. 
von Trapp, Herr Peanutbutter?
MR. PEANUTBUTTER," Okay. Oh, my phone. What should I do with it, Todd? Maybe you should hold it."
TODD, Uh-huh.
MR. PEANUTBUTTER," No, I'll take it with me."
TODD, All right.
MR. PEANUTBUTTER," No, you hold it."
TODD," Sure thing, yeah."
MR. PEANUTBUTTER," No, put it in my jacket pocket."
TODD, Right here. Okay.
MR. PEANUTBUTTER," Oh, no, it's a fake pocket. Tricked again! Todd, it's ringing. This is it. Oh, no, my phone! Oh, no, I kicked it, right through that doorway into the hallway! Now, other people are kicking it and it's sliding across the floor! Okay, this is getting absurd."
TODD, Let's get that phone!
Von Trapp," Mr. Peanutbutter, you have been invited to the stage!"
MR. PEANUTBUTTER," Don't sweep-- Oh! Excuse me! Hey! Oh, there it goes. Oh! Sorry. If you could just-- My phone!"
TODD, I'm coming to get you!
MR. PEANUTBUTTER," No, no, no! That way! Come on, phone. Just stop. Hello?"
Captain Peanutbutter," Mr. Peanutbutter. I just, um... I wanted to give youa chance to say goodbye..."
MR. PEANUTBUTTER," Oh, no."
Captain Peanutbutter, ...to my twisted spleen. Because it was successfully removed from my body!
MR. PEANUTBUTTER," Oh, my God, that's incredible!"
Captain Peanutbutter," Now, get out there and announce those Oscars!"
MR. PEANUTBUTTER," Nominations. You got it, buddy. Okay. Now, where's the... the... Uh-oh. Could've sworn it was right here."
Von Traap, Oh! Oh! There you are. You need to get on stage.
MR. PEANUTBUTTER," Yes, just as soon as you give me that backup envelope, please and por favor."
Von Trapp, What back-up envelope? There is no back-up envelope.
MR. PEANUTBUTTER, That was a test and you passed.
Von Trapp," Wunderbar. Now, let's get you out there."
MR. PEANUTBUTTER," Yes, gotta get out there, on to the stage,to announce the nominations. Just as soon as I--Oh, my God, is that Bradley Cooper?"
Von Trapp, Bradley Cooper? We love him for some reason. Where?
MR. PEANUTBUTTER," Let's go, Todd."
TODD," Oh, God, what do we do?"
MR. PEANUTBUTTER, It's okay. We just need to come up with all the nominees ourselves.
TODD, But I haven't even seen all the movies.
MR. PEANUTBUTTER," Todd, nobody has. That's not how they give out awards."
TODD, But--
MR. PEANUTBUTTER," Time for talk is over. Now's the time for action. And by action, I mean talking about these 24 categories until we've settled on a list of nominees. You need to tell me right now, are you in or out?"
TODD," Well, when you put it that way, I guess you can call me high-waisted denim, because, right now, I am very in."
MR. PEANUTBUTTER, Let's do this. What did you think of Frieda Pinto?
TODD, Are you kidding me? Anybody could do what she did. Don't take my baby. I'll give you all my Bitcoins!
TODD," Wow. That is good. Okay, for Best Picture, what about Avatar? That was a good movie."
MR. PEANUTBUTTER," True, but did that come out this year?"
TODD, I feel like I just saw it.
MR. PEANUTBUTTER," Well, there's no way to know for sure. Let's just throw it on the list."
TODD," Ooh, do we have Daniel Day-Lewisdown for anything? He's always there."
MR. PEANUTBUTTER," Good catch! I'll add him. Daniel Day-Lewis. Okay. We need one more nominee for Best Actor. Oh, what about BoJack? His performance in Secretariat was as thoughtful and self-aware as we've ever seen him. Besides, he's our friend."
TODD, Is he?
MR. PEANUTBUTTER," Whoa! I am surprised to hear you say that, Todd Chavez. Let's dig into that. We have time."
TODD," I don't think we do. You're supposed to be announcing these, like, now."
MR. PEANUTBUTTER," There is always time to talk about our feelings. As my Nana Peanutbutter used to say, There's always time to talk about feelings, because feelings are the ceilings of our hearts, and a leaky feeling ceiling leads to a flood of blood. And I'm cold. Will you pass me that blanket?"
TODD," Well, I guess I'm just tired of BoJack walking all over everybody and still getting everything he wants."
MR. PEANUTBUTTER," Mm-hmm, mm-hmm. I think the important thing to remember here is that BoJack is a damaged individual, struggling against a sea of demons, many self-created, but still all too real. Getting this nomination from the two friends he loves the most--you and also me--would really mean a lot to him."
TODD, Okay. But did you really think he was that good in the movie?
MR. PEANUTBUTTER," Oh, I haven't seen it. It seemed long. And the final nominee for Best Picture is Avatar. Well, those are all the nominations. I will not be taking any questions. Goodbye. I must go. I gotta say, we picked some top-notch noms."
TODD, You know it!
MR. PEANUTBUTTER," Boy, was I glad when we got out of that theater, though."
TODD," I know. So many questions. Oh, what the hell happened? Why were you reading off that napkin? Why are you guys running?"
MR. PEANUTBUTTER, They have their nominees. What more could they want? 
TODD," You know what's crazy? We saved the day today, and no one will ever even know."
MR. PEANUTBUTTER," Hey, we'll know."
Von Trapp," Mr. Peanutbutter, we know what you did."
MR. PEANUTBUTTER," Oh, boy. So, the good news is, my brother's surgery was a success. And the bad news is, you're not nominated for an Oscar. And the other good news is...that each breath is a gift and it is a joy to live."
BOJACK, What?
MR. PEANUTBUTTER, We are so lucky we get to be alive.
BOJACK," No, before that."
MR. PEANUTBUTTER," Oh, I didn't tell you. My brother's been sick."
BOJACK," No, I don't care about your brother."
MR. PEANUTBUTTER," First of all, manners. Second of all, I think if you met him, you'd actually really hit it off. Imagine me but with less in your face cool guy attitude."
BOJACK, Did you say I'm not nominated for an Oscar?
MR. PEANUTBUTTER," Oh...A lot of people are mighty steamed, but I feel like what everyone's overlooking here is, I got most of the categories dead-on. That's pretty amazing, and I am not getting enough credit for that. Did you know that Avatar came out in 2009?"
BOJACK, I'm not nominated for an Oscar.
MR. PEANUTBUTTER," No. But you know what they say. It's an honor just to be nominated. Oh, wait."
BOJACK," So, I'm just like everybody else."
MR. PEANUTBUTTER," I know you're upset, but whatever you do, please don't get mad at Todd."
BOJACK, Why would I get mad at Todd?
MR. PEANUTBUTTER, Exactly. This is totally my fault. He didn't even want to nominate you.
BOJACK, What?
MR. PEANUTBUTTER," With the gift of hindsight, I see now how that might have made you even more upset. But I realized something today, when my brother called from the hospital, and I think it's gonna make you feel a lot better."
BOJACK, What? What is it?
MR. PEANUTBUTTER," None of this matters. Okay, I'll see you later, buddy."
JUDAH," As a partner in the company, I am prepared to forgo my salary for the next three months, but even then, we're going to need some sort of miracle."
PRINCESS CAROLYN," What are we doing? What was the point of any of this? I wasted everyone's time for six months. Soon, I'll get some offer from one of the big five agencies that I can't say no to, and I'll go back to being another cogin the giant Play-Doh spaghetti maker that is this industry. Is that the best I can hope for?"
JUDAH," Not necessarily. Although, there is one thing I should probably mention."
PRINCESS CAROLYN," What is it, Judah?"
JUDAH, Maybe this is an opportunity to live one of your other eight lives.
PRINCESS CAROLYN," Yeah, maybe. It's been a pleasure working with you, Judah."
JUDAH, I found it to be an above average experience. Please forgive me for getting emotional.
Waitress," Rye, wheat, or sourdough?"
Duck, Can I get it on stale?
DIANE," And then, he said, I fetishize my own sadness."
Roxy, What did you think was gonna happen? Why did you go there?
DIANE, I don't know. Did you ask for water?
Roxy, No.
DIANE, They're not supposed to give us water unless we ask. Don't they know there's a drought?
Roxy, You want to send the water back?
DIANE," No, I want the water. I just...I went to BoJack's house to congratulate him. I'm not trying to pick fights."
Roxy," Well, you don't have to see him at all if you don't want to. It's not like you work for him anymore."
DIANE, Is he right? Am I a bad person?
Roxy, Who cares what he thinks? Why do you have this weird fixation with him?
DIANE," I do not have a fixation, Roxy. I worry about him."
Roxy," Okay. And last year? When you came back from Cordovia and needed a place to crash? Oh, you could have stayed with me, or any of your other friends, but you went right to his house. Did you ever ask yourself why?"
DIANE, They're filling everyone's glasses. This is insane.
Roxy," Oh, my God. What do you care?"
DIANE," Hey, excuse me? Excuse me? Do you know you're breaking the law by giving everybody water?"
Girl, It's okay. I want the water.
DIANE," Yeah, we all want water. That's not the point. In the state of California, it is illegal for a restaurant to serve people water before they ask for it. There is a drought."
Girl, Sit down! We're thirsty!
DIANE," You know,this is what's wrong with society."
Roxy, Diane...
DIANE," Nobody thinks about the world outside themselves. So, how you doing? You still working at that place?"
PRINCESS CAROLYN," Hello? Hi, Ralph. It's Princess Carolyn."
Ralph," Oh, my God, Princess Carolyn, I never thought I'd hear from you again."
PRINCESS CAROLYN, I might have some free time coming up. I was wondering if you might want to get a drink.
Ralph," Okay. So, the night I met you after I saidgoodbye, the craziest thing happened."
PRINCESS CAROLYN, Okay?
Ralph," I was walking back to my car, when all of a sudden, this woman...tripped on a cobblestone, twisted her ankle, and tumbled into my arms."
PRINCESS CAROLYN, What?
Ralph," Turns out, she was a ballerina, and she didn't speak a word of English. So, I rushed her to the hospital, and long story short, we eloped. I moved to Russia, and I'm totally messing with you. None of that's true."
PRINCESS CAROLYN, What?
Ralph, I would love to see you again. I think about you all the time.
PRINCESS CAROLYN, Really? 
Ralph, Yeah. How about this Saturday?
PRINCESS CAROLYN, It's a date.
BOJACK, Ana?
Man," Uh, no, it's just me, giant chocolate Oscar guy. I'm here to pick up the giant chocolate Oscar. My boss really wants our product to only be seen with real Oscar nominees. You know, to maintain the integrity of the giant chocolate Oscar."
BOJACK, I don't care. Take it.
Phone, You've reached Ana Spanakopita. How did you get this number? Explain yourself.
BOJACK," Ana, this is the fourth time I've called. Please call me back. I need you. Ana, please. This is BoJack, by the way. Horseman. Hey! Todd! Where you been?"
TODD," Oh, hi."
BOJACK, You were in Ojai?
TODD," No, I was just saying hi."
BOJACK," Well, why not go to Ojai, huh? You and me? I could use an escape, couldn't you?"
TODD, It's not really a good time.
BOJACK," Todd, I need this. You're my best friend and I need you. Don't leave me now. Don't be like everybody else."
TODD, I'm not leaving you. I just--
BOJACK," Besides, I think you owe me, right? After what you did?"
TODD, What I did?
BOJACK," Come on, Todd. I know. Mr. Peanutbutter told me everything."
MR. PEANUTBUTTER, Everything?
TODD," Even told you, when I was a kid, I used to bang on my butt like a bongo drum when I got out of the bath?"
BOJACK, What?
TODD," Todd-o, me and Todd-o. Bath time come. Make Todd shiny and clean."
BOJACK," Mm, no, not-not about that."
TODD," So, he didn't tell you everything. Did he tell you about the time I counted to a million? One, two, three, four, five, six--"
BOJACK," No, stop."
TODD, But I was just getting to the good part!
BOJACK, What? Seven? He told me you didn't want to nominate me for an Oscar.
TODD," Oh, that."
BOJACK," What the hell, man? After everything I've done for you?"
TODD, What are you talking about?
BOJACK," Oh, I don't know. Letting you live here for free for six years? Giving you food, indulging you in your little projects and adventures and stories about how you used to bang on your butt like a bongo drum? I let you turn my house into your company's headquarters for the last month. Yeah, but that's not because you're my friend."
TODD, That's because you felt bad about Emily.
BOJACK, You know about Emily?
TODD," I think I know.  Why? What do you think I know? I mean, I know what I think, but I don't know if the thing that I think is the thing that you think I know. You know?"
BOJACK," So, you know I had sex with Emily."
TODD, You had sex with Emily?!
BOJACK," Well, what did you think?"
TODD," I don't know! Not that! I just knew something sketchy happened. I thought maybe you gave her one of your weird monologues about how sad you are, and it bummed her out!"
BOJACK," Todd, I'm sorry, all right? I screwed up. I know I screwed up. I don't know why--"
TODD," Oh, great! Of course! Here it comes! You can't keep doing this! You can't keep doing shitty things, and then feel bad about yourself like that makes it okay! You need to be better!"
BOJACK," I know. And I'm sorry, okay? I was drunk, and there was all this pressure with the Oscar campaign. But now--Now that it's over, I--"
TODD," No! No, BoJack, just stop. You are all the things that are wrong with you. It's not the alcohol, or the drugs, or any of the shitty things that happened to you in your career, or when you were a kid. It's you. All right? It's you. Fuck, man. What else is there to say?"
,
S3E11,
SARAH," Good morning, morning. Good morning, sun. Good morning, trees. Good morning, busy buzzy bees."
Ant 1," Good morning, Sarah Lynn. "
Ant 2," Good to see you, Sarah Lynn. The tulips and chrysanthemums are really coming in."
SARAH," Good morning, handsome garden ants. I like the way you plant my plants. Your flowers make my feelings dance. I like your handsome planter pants. Goddamn it! Why won't you--? It's okay. Sarah Lynn, you are calm, you are thin."
SARAH," Your skin is so soft, it's like you murdered a baby and stole its skin. Your skin is ""murdered-baby"" soft. Okay. Blueberry, goji berry, flax, chia, shark fin, and... white rhino horn. Sober, so good. Oh. BoJack?"
BOJACK," Hey, Sarah Lynn. You wanna party?"
SARAH," Oh, thank God. Yes! Okay, hand me the açai."
BOJACK, Is that how you pronounce it?
SARAH, Who knows? They should really just call them overpriced blueberries for douchebags. How's life?
BOJACK," Well, the truth is that..."
SARAH," Didn't catch that, but everything's cool?"
BOJACK," No. In fact, I've never felt so alone--"
SARAH," Sorry, missed it! You should learn to talk louder, dude! Oh, hey, bummer about you getting the nomination, but then, it turning out that you didn't get the nomination. It was big news yesterday."
BOJACK," Yeah, I got royally screwed, know who was there for me? No one, because everyone's an asshole and the whole world sucks balls. Anyway, thanks for having me over."
SARAH," I'm with you, man. Everything sucks! Especially sobriety. Why would I make my body a temple? I've been to Temple. Temple is super boring."
BOJACK, What do you say we go on an epic bender?
SARAH, Yes! Let's get higher than a stilt walker's dick!
BOJACK, That's what I'm talking about. Let's get some booze and drugs. We can clear out my bank account. I got nothing left I care about.
SARAH, What do you mean get? This whole house is booze and drugs. Here.
BOJACK, Yogurt-covered raisins?
SARAH, Nope. Vicodin-covered Vicodin.
BOJACK, Oh!
SARAH, LSD.
BOJACK, Wow.
SARAH, Yah! Crystal meth.
BOJACK, Ha-ha!
SARAH," Ee-yah! Cocaine-- No! That's drywall. Ugh! Where the hell did I hide the cocaine? Oh, yeah, I also told the liquor store to deliver. To nine months of sobriety. "
BOJACK, To life and being done with it!
